BlockStateName,Type,ValidValues,Description 
age_bit ,Boolean ,"True, False ",Determines if saplings should grow 
age ,Integer ,0 - 15 ,Represents the age of the block 
attached_bit ,Boolean ,"True, False ",Determines if a tripwire is attached to another tripwire 
portal_axis ,String ,"unknown, x, z ",Determines the orientation of portal blocks 
bite_counter ,Integer ,0 - 6 ,Tracks how many bites of cake have been taken 
brewing_stand_slot_a_bit ,Boolean ,"True, False ",Determines if a bottle is shown in slot a of the brewing stand 
brewing_stand_slot_b_bit ,Boolean ,"True, False ",Determines if a bottle is shown in slot b of the brewing stand 
brewing_stand_slot_c_bit ,Boolean ,"True, False ",Determines if a bottle is shown in slot c of the brewing stand 
button_pressed_bit ,Boolean ,"True, False ",Determines if a button is in the pressed state or not 
conditional_bit ,Boolean ,"True, False ",Determines if a command block is conditional or not 
covered_bit ,Boolean ,"True, False ",Describes if a top snow block is covering another block 
damage ,String ,"undamaged, slightly_damaged, very_damaged, broken ",Determines the state of damage of an Anvil 
disarmed_bit ,Boolean ,"True, False ",Determines if a tripwire is disarmed or not. 
door_hinge_bit ,Boolean ,"True, False ",Determines if door's hinge is mirrored or not 
upper_block_bit ,Boolean ,"True, False ",Determines if a block is the upper half of an object like a door or a tall plant 
direction ,Integer ,0 - 3 ,"Determines the North, South, East, and West direction of some blocks. 0 = South, 1 = West, 2 = North 3 = East "
end_portal_eye_bit ,Boolean ,"True, False ",Determines if an end portal block has an Eye in it 
explode_bit ,Boolean ,"True, False ",Determines if a TNT block should start its explode sequence 
facing_direction ,Integer ,0 - 5 ,"Determines the Up, Down, North, South, East, and West direction of some blocks. 0 = Down, 1 = Up, 2 = North, 3 = South, 4 = West, 5 = East "
fill_level ,Integer ,0 - 6 ,Determines fill level of a cauldron block 
growth ,Integer ,0 - 7 ,Determines the growth level of crops 
head_piece_bit ,Boolean ,"True, False ",Determines if a block is the pillow side of a bed 
height ,Integer ,0 - 7 ,Determines the height of a top snow block 
infiniburn_bit ,Boolean ,"True, False ",Determines if a block should burn infinitely 
in_wall_bit ,Boolean ,"True, False ",Determines if a fence block is connected to a wall block 
liquid_depth ,Integer ,0 - 15 ,Determines the level of liquid blocks 
moisturized_amount ,Integer ,0 - 7 ,Determines the moisture level of crops 
no_drop_bit ,Boolean ,"True, False ",Determines if a skull block should drop loot 
occupied_bit ,Boolean ,"True, False ",Determines if a bed block is occupied 
open_bit ,Boolean ,"True, False ","Determines if a door, gate, or trapdoor is open "
output_subtract_bit ,Boolean ,"True, False ",Determines if a Comparator is set to subtract output 
output_lit_bit ,Boolean ,"True, False ",Determines if a Comparator's output is lit 
persistent_bit ,Boolean ,"True, False ",Determines if a leaf block is persistent 
powered_bit ,Boolean ,"True, False ",Shows when an observer or tripwire sends a redstone signal 
rail_data_bit ,Boolean ,"True, False ",Shows if a rail has a redstone signal 
rail_direction ,Integer ,0 - 8 ,Determines the orientation of a placed rail block 
redstone_signal ,Integer ,0 - 15 ,Determines the signal strength of a redstone signal 
repeater_delay ,Integer ,0 - 3 ,Determines the amount of delay of a repeater 
suspended_bit ,Boolean ,"True, False ",Indicates if a tripwire block is suspended 
toggle_bit ,Boolean ,"True, False ",Determines if a hopper block is active or not 
top_slot_bit ,Boolean ,"True, False ",Shows if a slab is the top half of the block or not 
triggered_bit ,Boolean ,"True, False ",Determines if a dispenser is triggered 
update_bit ,Boolean ,"True, False ",Determines if a leaf block or flower block should be updated 
upside_down_bit ,Boolean ,"True, False ",Determines if a stair block or trapdoor block is upsidedown 
vine_direction_bits ,Integer ,0 - 15 ,"Determines the facing direction for vines, works like the facing_direction blockstate "
allow_underwater_bit ,Boolean ,"True, False ",Determines if a TNT block works underwater 
color_bit ,Boolean ,"True, False ",Sets if a torch is a colored torch block 
dead_bit ,Boolean ,"True, False ","Determines if coral, coral fans, or sea pickles are dead "
cluster_count ,Integer ,0 - 3 ,Describes how many sea pickles are in a cluster 
item_frame_map_bit ,Boolean ,"True, False ",Describes if an item frame block has a map in it 
sapling_type ,String ,"evergreen, birch, jungle, acacia, roofed_oak ",Determines the type of the sapling block 
torch_facing_direction ,String ,"unknown, west, east, north, south, top ",Determines the block that a torch is attached to in relation to its position 
drag_down ,Boolean ,"True, False ",Describes if bubble columns drag entities down or pushes them up 
turtle_egg_count ,String ,"one_egg, two_egg, three_egg, four_egg ",Determines the amount of turtle eggs in an egg block 
cracked_state ,String ,"no_cracks, cracked, max_cracked ",Determines the cracked state of turtle eggs 
ground_sign_direction ,Integer ,0 - 15 ,Describes the rotation of signs and standing banners 
weirdo_direction ,Integer ,0 - 3 ,Describes the rotation of stairs 
coral_direction ,Integer ,0 - 3 ,Describes the rotation of coral fans 
color ,String ,"white, orange, magenta, light_blue, yellow, lime, pink, gray, silver, cyan, purple, blue, brown, green, red, black ",Determines the color of a block like wool 
bamboo_stalk_thickness ,String ,"thin, thick ",Determines the thinkness of a bamboo stalk 
bamboo_leaf_size ,String ,"no_leaves, small_leaves, large_leaves ",Determines the size of bamboo leaves 
stability ,Integer ,0 - 5 ,Determines the stability of a scaffolding block 
stability_check ,Boolean ,"True, False ",Describes if a scaffolding block has been checked for stability 
wood_type ,String ,"oak, spruce, birch, jungle, acacia, dark_oak ",Determines the wood type of a block 
stone_type ,String ,"stone, granite, granite_smooth, diorite, diorite_smooth, andesite, andesite_smooth ",Determines the stone type of a block 
